Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2021,November,Badagry,1840.0,16560.0,11,4,0,8000,1
2021,November,Epe,659.0,5931.0,11,4,0,7000,2
2021,November,Ikorodu,12386.0,111474.0,11,4,0,11000,3
2021,December,Olusosun,11169.0,106489.5,12,4,1,15000,4
2021,December,Abule-Egba,4817.0,43653.0,12,4,1,12000,0
2021,December,Shomolu,108.0,972.0,12,4,1,13000,5
2021,December,Badagry,1520.0,15458.0,12,4,1,8000,1
2021,December,Epe,1148.0,11485.0,12,4,1,7000,2
2021,December,Ikorodu,18762.0,178057.5,12,4,1,11000,3
2022,January,Olusosun,10689.0,103307.5,1,1,1,15000,4
2022,January,Abule-Egba,4955.0,45583.0,1,1,1,12000,0
2022,January,Shomolu,107.0,963.0,1,1,1,13000,5
2022,January,Badagry,1351.0,12973.0,1,1,1,8000,1
2022,January,Epe,1232.0,12003.5,1,1,1,7000,2
2022,January,Ikorodu,18334.0,174830.0,1,1,1,11000,3
2022,February,Olusosun,10015.0,96625.0,2,1,0,15000,4
2022,February,Abule-Egba,4457.0,40611.0,2,1,0,12000,0
2022,February,Shomolu,105.0,945.0,2,1,0,13000,5
2022,February,Badagry,1215.0,12192.0,2,1,0,8000,1
2022,February,Epe,1091.0,10623.5,2,1,0,7000,2
2022,February,Ikorodu,16883.0,160996.5,2,1,0,11000,3
2022,March,Olusosun,11114.0,107197.0,3,1,0,15000,4
2022,March,Abule-Egba,4922.0,45197.0,3,1,0,12000,0
2022,March,Shomolu,129.0,1191.0,3,1,0,13000,5
2022,March,Badagry,1439.0,14086.0,3,1,0,8000,1
2022,March,Epe,1231.0,11950.0,3,1,0,7000,2
2022,March,Ikorodu,18835.0,179621.0,3,1,0,11000,3
2022,April,Olusosun,9155.0,88255.0,4,2,0,15000,4
2022,April,Abule-Egba,4073.0,36914.0,4,2,0,12000,0
2022,April,Shomolu,109.0,981.0,4,2,0,13000,5
2022,April,Badagry,1179.0,11558.0,4,2,0,8000,1
2022,April,Epe,1155.0,11071.0,4,2,0,7000,2
2022,April,Ikorodu,15671.0,148779.0,4,2,0,11000,3
2022,May,Olusosun,8843.0,85309.0,5,2,0,15000,4
2022,May,Abule-Egba,4722.0,42743.0,5,2,0,12000,0
2022,May,Shomolu,94.0,856.0,5,2,0,13000,5
2022,May,Badagry,1347.0,13101.0,5,2,0,8000,1
2022,May,Epe,1210.0,11692.5,5,2,0,7000,2
2022,May,Ikorodu,16216.0,153701.5,5,2,0,11000,3
2022,June,Olusosun,8994.0,85686.0,6,2,0,15000,4
2022,June,Abule-Egba,3774.0,34211.0,6,2,0,12000,0
2022,June,Shomolu,101.0,909.0,6,2,0,13000,5
2022,June,Badagry,1415.0,13621.0,6,2,0,8000,1
2022,June,Epe,1430.0,13665.5,6,2,0,7000,2
2022,June,Ikorodu,15714.0,148092.5,6,2,0,11000,3
2022,July,Olusosun,6891.0,64768.0,7,3,0,15000,4
2022,July,Abule-Egba,4269.0,38806.0,7,3,0,12000,0
2022,July,Shomolu,110.0,990.0,7,3,0,13000,5
2022,July,Badagry,1704.0,16255.0,7,3,0,8000,1
2022,July,Epe,2413.0,22849.5,7,3,0,7000,2
2022,July,Ikorodu,15387.0,143669.0,7,3,0,11000,3
2022,August,Olusosun,9008.0,85680.0,8,3,0,15000,4
2022,August,Abule-Egba,4931.0,44664.0,8,3,0,12000,0
2022,August,Shomolu,111.0,999.0,8,3,0,13000,5
2022,August,Badagry,1380.0,13961.0,8,3,0,8000,1
2022,August,Epe,1601.0,15491.5,8,3,0,7000,2
2022,August,Ikorodu,17031.0,160795.5,8,3,0,11000,3
2022,September,Olusosun,9171.0,88571.0,9,3,0,15000,4
2022,September,Abule-Egba,3999.0,36144.0,9,3,0,12000,0
2022,September,Shomolu,68.0,612.0,9,3,0,13000,5
2022,September,Badagry,1295.0,12479.0,9,3,0,8000,1
2022,September,Epe,1251.0,12289.0,9,3,0,7000,2
2022,September,Ikorodu,15784.0,150095.0,9,3,0,11000,3
2022,October,Olusosun,8938.0,86856.0,10,4,0,15000,4
2022,October,Abule-Egba,4885.0,44209.0,10,4,0,12000,0
2022,October,Shomolu,113.0,1067.0,10,4,0,13000,5
2022,October,Badagry,1355.0,13130.0,10,4,0,8000,1
2022,October,Epe,1368.0,13398.0,10,4,0,7000,2
2022,October,Ikorodu,16659.0,158660.0,10,4,0,11000,3
2022,November,Olusosun,9230.0,89243.0,11,4,0,15000,4
